id,category,difficulty,difficulty_normalized,topic,question,option_a,option_b,option_c,option_d,option_e,option_f,answer,solution,source_file,source_repo
1,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,What is 25% of 400?,,,,,,,100,25% of 400 = (25/100) × 400 = 0.25 × 400 = 100.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
2,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,Find 10% of 1500.,,,,,,,150,10% of 1500 = (10/100) × 1500 = 0.1 × 1500 = 150.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
3,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,"If 20% of a number is 80, what is the number?",,,,,,,400,"Let the number be \( x \). Then, 20% of \( x = 80 \). \( 0.2x = 80 \), so \( x = 80 / 0.2 = 400 \).",01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
4,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,What is 5% of 2000?,,,,,,,100,5% of 2000 = (5/100) × 2000 = 0.05 × 2000 = 100.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
5,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,"If 15% of a number is 45, find the number.",,,,,,,300,"Let the number be \( x \). Then, \( 0.15x = 45 \). \( x = 45 / 0.15 = 300 \).",01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
6,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,Calculate 40% of 250.,,,,,,,100,40% of 250 = (40/100) × 250 = 0.4 × 250 = 100.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
7,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,"If a number increased by 20% gives 240, what is the original number?",,,,,,,200,"Let the original number be \( x \). Then, \( x + 0.2x = 240 \). \( 1.2x = 240 \), so \( x = 240 / 1.2 = 200 \).",01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
8,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,What is 30% of 600?,,,,,,,180,30% of 600 = (30/100) × 600 = 0.3 × 600 = 180.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
9,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,"If 50% of a number is 75, what is the number?",,,,,,,150,"Let the number be \( x \). Then, \( 0.5x = 75 \). \( x = 75 / 0.5 = 150 \).",01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
10,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Percentages,Find 12.5% of 800.,,,,,,,100,12.5% of 800 = (12.5/100) × 800 = 0.125 × 800 = 100.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
11,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Profit and Loss,A book is bought for $100 and sold for $120. Find the profit percentage.,,,,,,,20%,Profit = Selling Price - Cost Price = 120 - 100 = 20. Profit % = (Profit / Cost Price) × 100 = (20 / 100) × 100 = 20%.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
12,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Profit and Loss,An item is sold for $150 at a loss of $30. What is the cost price?,,,,,,,$180,Cost Price = Selling Price + Loss = 150 + 30 = 180.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
13,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Profit and Loss,"If the cost price of an item is $200 and profit is 25%, find the selling price.",,,,,,,$250,Profit = 25% of 200 = 0.25 × 200 = 50. Selling Price = Cost Price + Profit = 200 + 50 = 250.,01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
14,01 Quantitative Aptitude (Numerical Ability),01 Basic,easy,Profit and Loss,A pen is sold for $8 at a loss of 20%. Find the cost price.,,,,,,,$10,"Let Cost Price be \( x \). Then, Selling Price = 80% of \( x \). \( 0.8x = 8 \), so \( x = 8 / 0.8 = 10 \).",01 Quantitative Aptitude (Numerical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
15,01 Quantitative Aptitude (Numerical Ability),02 Intermediate,medium,Percentages,"A number is increased by 20% and then decreased by 10%. If the final number is 264, find the original number.",,,,,,,244.44,Let the original number be \( x \). After 20% increase: \( 1.2x \). After 10% decrease: \( 1.2x \times 0.9 = 1.08x \). Given \( 1.08x = 264 \). \( x = 264 / 1.08 = 244.44 \).,01 Quantitative Aptitude (Numerical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
16,01 Quantitative Aptitude (Numerical Ability),02 Intermediate,medium,Percentages,"If 30% of a number is 45, what is 40% of that number?",,,,,,,60,"Let the number be \( x \). Given \( 0.3x = 45 \), so \( x = 45 / 0.3 = 150 \). 40% of 150 = \( 0.4 \times 150 = 60 \).",01 Quantitative Aptitude (Numerical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
17,01 Quantitative Aptitude (Numerical Ability),02 Intermediate,medium,Percentages,A salary of $5000 is increased by 15%. What is the new salary?,,,,,,,$5750,Increase = \( 15\% \times 5000 = 0.15 \times 5000 = 750 \). New salary = \( 5000 + 750 = 5750 \).,01 Quantitative Aptitude (Numerical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
18,01 Quantitative Aptitude (Numerical Ability),02 Intermediate,medium,Percentages,"If a price is reduced by 25% and the new price is $150, what was the original price?",,,,,,,$200,Let original price be \( x \). New price = \( 0.75x = 150 \). \( x = 150 / 0.75 = 200 \).,01 Quantitative Aptitude (Numerical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
19,01 Quantitative Aptitude (Numerical Ability),02 Intermediate,medium,Percentages,"A number is decreased by 10% and then increased by 20%. If the final result is 264, find the original number.",,,,,,,244.44,Let original number be \( x \). After 10% decrease: \( 0.9x \). After 20% increase: \( 0.9x \times 1.2 = 1.08x \). Given \( 1.08x = 264 \). \( x = 264 / 1.08 = 244.44 \).,01 Quantitative Aptitude (Numerical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
20,01 Quantitative Aptitude (Numerical Ability),02 Intermediate,medium,Percentages,"If 40% of a number exceeds 25% of it by 30, find the number.",,,,,,,200,"Let the number be \( x \). Then, \( 0.4x - 0.25x = 30 \). \( 0.15x = 30 \), so \( x = 30 / 0.15 = 200 \).",01 Quantitative Aptitude (Numerical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
21,01 Quantitative Aptitude (Numerical Ability),02 Intermediate,medium,Percentages,"A shop offers a 20% discount on an item and still makes a 20% profit. If the cost price is $100, find the marked price.",,,,,,,$150,"Selling price with 20% profit = \( 100 \times 1.2 = 120 \). Let marked price be \( m \). After 20% discount, \( 0.8m = 120 \). \( m = 120 / 0.8 = 150 \).",01 Quantitative Aptitude (Numerical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
22,01 Quantitative Aptitude (Numerical Ability),02 Intermediate,medium,Percentages,"If a population increases by 10% annually, what is the population after 2 years if it is 1000 now?",,,,,,,1210,Population after 1 year = \( 1000 \times 1.1 = 1100 \). After 2 years = \( 1100 \times 1.1 = 1210 \).,01 Quantitative Aptitude (Numerical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
23,01 Quantitative Aptitude (Numerical Ability),02 Intermediate,medium,Percentages,"A number is increased by 25% and then decreased by 20%. If the result is 300, find the original number.",,,,,,,300,Let original number be \( x \). After 25% increase: \( 1.25x \). After 20% decrease: \( 1.25x \times 0.8 = x \). Given \( x = 300 \).,01 Quantitative Aptitude (Numerical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
24,01 Quantitative Aptitude (Numerical Ability),02 Intermediate,medium,Percentages,"If 15% of a number is 60, what is 75% of that number?",,,,,,,300,"Let the number be \( x \). Given \( 0.15x = 60 \), so \( x = 60 / 0.15 = 400 \). 75% of 400 = \( 0.75 \times 400 = 300 \).",01 Quantitative Aptitude (Numerical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
25,01 Quantitative Aptitude (Numerical Ability),02 Intermediate,medium,Profit and Loss,"A shopkeeper sells an item at a 10% profit. If the cost price is $200, what is the selling price?",,,,,,,$220,Profit = \( 10\% \times 200 = 20 \). Selling price = \( 200 + 20 = 220 \).,01 Quantitative Aptitude (Numerical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
26,01 Quantitative Aptitude (Numerical Ability),02 Intermediate,medium,Profit and Loss,"An article is sold at a 15% loss. If the selling price is $170, find the cost price.",,,,,,,$200,Let cost price be \( x \). Selling price = \( 0.85x = 170 \). \( x = 170 / 0.85 = 200 \).,01 Quantitative Aptitude (Numerical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
27,01 Quantitative Aptitude (Numerical Ability),02 Intermediate,medium,Profit and Loss,A man buys an item for $150 and sells it for $180. Find the profit percentage.,,,,,,,20%,Profit = \( 180 - 150 = 30 \). Profit % = \( (30 / 150) \times 100 = 20\% \).,01 Quantitative Aptitude (Numerical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
28,01 Quantitative Aptitude (Numerical Ability),03 Advance,hard,Percentages,"A number is increased by 25%, then decreased by 20%, and again increased by 10%. If the final result is 330, find the original number.",,,,,,,300,Let the original number be \( x \). After 25% increase: \( 1.25x \). After 20% decrease: \( 1.25x \times 0.8 = x \). After 10% increase: \( x \times 1.1 = 1.1x \). Given \( 1.1x = 330 \). \( x = 330 / 1.1 = 300 \).,01 Quantitative Aptitude (Numerical Ability)/03 Advance/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
29,01 Quantitative Aptitude (Numerical Ability),03 Advance,hard,Percentages,"If 40% of a number exceeds 25% of it by 45, and 60% of the same number is 180, find the number.",,,,,,,300,"Let the number be \( x \). From first condition: \( 0.4x - 0.25x = 45 \), so \( 0.15x = 45 \), \( x = 45 / 0.15 = 300 \). From second condition: \( 0.6x = 180 \), so \( x = 180 / 0.6 = 300 \). Both confirm \( x = 300 \).",01 Quantitative Aptitude (Numerical Ability)/03 Advance/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
30,01 Quantitative Aptitude (Numerical Ability),03 Advance,hard,Percentages,"A shop offers successive discounts of 20% and 15%. If the marked price is $500, find the final selling price.",,,,,,,$340,After 20% discount: \( 500 \times 0.8 = 400 \). After 15% discount: \( 400 \times 0.85 = 340 \).,01 Quantitative Aptitude (Numerical Ability)/03 Advance/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
31,01 Quantitative Aptitude (Numerical Ability),03 Advance,hard,Percentages,"A population increases by 10% in the first year and 20% in the second year. If the final population is 2640, find the initial population.",,,,,,,2000,Let initial population be \( x \). After first year: \( 1.1x \). After second year: \( 1.1x \times 1.2 = 1.32x \). Given \( 1.32x = 2640 \). \( x = 2640 / 1.32 = 2000 \).,01 Quantitative Aptitude (Numerical Ability)/03 Advance/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
32,01 Quantitative Aptitude (Numerical Ability),03 Advance,hard,Percentages,"If a number is reduced by 30% and then increased by 40%, the result is 280. Find the original number.",,,,,,,285.71,Let the number be \( x \). After 30% reduction: \( 0.7x \). After 40% increase: \( 0.7x \times 1.4 = 0.98x \). Given \( 0.98x = 280 \). \( x = 280 / 0.98 \approx 285.71 \).,01 Quantitative Aptitude (Numerical Ability)/03 Advance/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
33,01 Quantitative Aptitude (Numerical Ability),03 Advance,hard,Percentages,"A salary is increased by 10%, then by 20%, and then decreased by 25%. If the final salary is $3300, find the original salary.",,,,,,,3333.33,Let original salary be \( x \). After 10% increase: \( 1.1x \). After 20% increase: \( 1.1x \times 1.2 = 1.32x \). After 25% decrease: \( 1.32x \times 0.75 = 0.99x \). Given \( 0.99x = 3300 \). \( x = 3300 / 0.99 \approx 3333.33 \).,01 Quantitative Aptitude (Numerical Ability)/03 Advance/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
34,01 Quantitative Aptitude (Numerical Ability),03 Advance,hard,Percentages,"If 15% of a number is equal to 20% of another number, and their sum is 350, find the numbers.",,,,,,,200 and 150,"Let numbers be \( x \) and \( y \). Given \( 0.15x = 0.2y \), so \( 3x = 4y \), or \( y = 3x/4 \). Also, \( x + y = 350 \). Substitute: \( x + 3x/4 = 350 \), so \( 7x/4 = 350 \), \( x = 200 \). Then \( y = 350 - 200 = 150 \).",01 Quantitative Aptitude (Numerical Ability)/03 Advance/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
35,01 Quantitative Aptitude (Numerical Ability),03 Advance,hard,Percentages,"A product’s price is increased by 20%, then decreased by 10%, and again increased by 5%. If the final price is $462, find the original price.",,,,,,,407.41,Let original price be \( x \). After 20% increase: \( 1.2x \). After 10% decrease: \( 1.2x \times 0.9 = 1.08x \). After 5% increase: \( 1.08x \times 1.05 = 1.134x \). Given \( 1.134x = 462 \). \( x = 462 / 1.134 \approx 407.41 \).,01 Quantitative Aptitude (Numerical Ability)/03 Advance/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
36,01 Quantitative Aptitude (Numerical Ability),03 Advance,hard,Percentages,"If 25% of a number is 75, and 10% of the same number is increased by 20, what is the result?",,,,,,,50,"Let number be \( x \). Given \( 0.25x = 75 \), so \( x = 75 / 0.25 = 300 \). 10% of 300 = \( 0.1 \times 300 = 30 \). Increase by 20: \( 30 + 20 = 50 \).",01 Quantitative Aptitude (Numerical Ability)/03 Advance/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
37,01 Quantitative Aptitude (Numerical Ability),03 Advance,hard,Percentages,"A shop gives a 30% discount on an item, and the discounted price is $350. If the shop still makes a 25% profit, find the cost price.",,,,,,,$280,"Let marked price be \( m \). After 30% discount: \( 0.7m = 350 \), so \( m = 350 / 0.7 = 500 \). Let cost price be \( c \). Selling price = \( 350 \), with 25% profit: \( 1.25c = 350 \). \( c = 350 / 1.25 = 280 \).",01 Quantitative Aptitude (Numerical Ability)/03 Advance/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
38,01 Quantitative Aptitude (Numerical Ability),03 Advance,hard,Profit and Loss,"A trader sells an item at a 15% profit. If the cost price increases by 10% and selling price remains the same, what is the new profit percentage?",,,,,,,4.55%,"Let original cost price = $100, selling price = \( 100 \times 1.15 = 115 \). New cost price = \( 100 \times 1.1 = 110 \). New profit = \( 115 - 110 = 5 \). New profit % = \( (5 / 110) \times 100 \approx 4.55\% \).",01 Quantitative Aptitude (Numerical Ability)/03 Advance/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
39,01 Quantitative Aptitude (Numerical Ability),03 Advance,hard,Profit and Loss,"An article is sold at a 20% loss. If the selling price is increased by $50, the loss becomes 5%. Find the cost price.",,,,,,,$333.33,"Let cost price = \( x \). Selling price = \( 0.8x \). New selling price = \( 0.8x + 50 \), with 5% loss: \( 0.95x = 0.8x + 50 \). \( 0.15x = 50 \), so \( x = 50 / 0.15 \approx 333.33 \).",01 Quantitative Aptitude (Numerical Ability)/03 Advance/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
40,01 Quantitative Aptitude (Numerical Ability),03 Advance,hard,Profit and Loss,"A shopkeeper marks an item 40% above cost price and offers a 10% discount. If the selling price is $360, find the profit percentage.",,,,,,,26%,Let cost price = \( c \). Marked price = \( 1.4c \). Selling price after 10% discount: \( 1.4c \times 0.9 = 1.26c = 360 \). \( c = 360 / 1.26 \approx 285.71 \). Profit = \( 360 - 285.71 = 74.29 \). Profit % = \( (74.29 / 285.71) \times 100 \approx 26\% \).,01 Quantitative Aptitude (Numerical Ability)/03 Advance/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
41,02 Logical Reasoning (Analytical Ability),01 Basic,easy,Series,"Find the next number in the series: 2, 4, 6, 8, ?",,,,,,,10,"The series is arithmetic with a common difference of 2: 2 + 2 = 4, 4 + 2 = 6, 6 + 2 = 8. Next number: 8 + 2 = 10.",02 Logical Reasoning (Analytical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
42,02 Logical Reasoning (Analytical Ability),01 Basic,easy,Series,"Find the next number: 1, 3, 9, 27, ?",,,,,,,81,"The series is geometric: each term is multiplied by 3 (1 × 3 = 3, 3 × 3 = 9, 9 × 3 = 27). Next number: 27 × 3 = 81.",02 Logical Reasoning (Analytical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
43,02 Logical Reasoning (Analytical Ability),01 Basic,easy,Series,"Find the next number: 5, 10, 20, 40, ?",,,,,,,80,"Each term is multiplied by 2: 5 × 2 = 10, 10 × 2 = 20, 20 × 2 = 40. Next number: 40 × 2 = 80.",02 Logical Reasoning (Analytical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
44,02 Logical Reasoning (Analytical Ability),01 Basic,easy,Series,"Find the next number: 1, 4, 7, 10, ?",,,,,,,13,"Arithmetic series with a common difference of 3: 1 + 3 = 4, 4 + 3 = 7, 7 + 3 = 10. Next number: 10 + 3 = 13.",02 Logical Reasoning (Analytical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
45,02 Logical Reasoning (Analytical Ability),01 Basic,easy,Series,"Find the missing number: 2, 5, 11, ?, 26",,,,,,,23,"The series follows a pattern: 2 × 2 + 1 = 5, 5 × 2 + 1 = 11, 11 × 2 + 1 = 23, 23 × 2 + 1 = 47. Missing number: 23.",02 Logical Reasoning (Analytical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
46,02 Logical Reasoning (Analytical Ability),01 Basic,easy,Series,"Find the next number: 3, 6, 12, 24, ?",,,,,,,48,"Each term is multiplied by 2: 3 × 2 = 6, 6 × 2 = 12, 12 × 2 = 24. Next number: 24 × 2 = 48.",02 Logical Reasoning (Analytical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
47,02 Logical Reasoning (Analytical Ability),01 Basic,easy,Series,"Find the next number: 10, 8, 6, 4, ?",,,,,,,2,"Arithmetic series with a common difference of -2: 10 - 2 = 8, 8 - 2 = 6, 6 - 2 = 4. Next number: 4 - 2 = 2.",02 Logical Reasoning (Analytical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
48,02 Logical Reasoning (Analytical Ability),01 Basic,easy,Series,"Find the missing number: 1, 2, 4, 7, ?, 22",,,,,,,11,"Differences: 2-1 = 1, 4-2 = 2, 7-4 = 3, next difference is 4, so 7 + 4 = 11. Next difference is 5: 11 + 5 = 16, then 6: 16 + 6 = 22. Missing number: 11.",02 Logical Reasoning (Analytical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
49,02 Logical Reasoning (Analytical Ability),01 Basic,easy,Series,"Find the next number: 1, 1, 2, 3, 5, ?",,,,,,,8,"Fibonacci series: each term is the sum of the two preceding ones (1 + 1 = 2, 1 + 2 = 3, 2 + 3 = 5). Next number: 3 + 5 = 8.",02 Logical Reasoning (Analytical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
50,02 Logical Reasoning (Analytical Ability),01 Basic,easy,Series,"Find the next number: 4, 16, 64, 256, ?",,,,,,,1024,"Each term is multiplied by 4: 4 × 4 = 16, 16 × 4 = 64, 64 × 4 = 256. Next number: 256 × 4 = 1024.",02 Logical Reasoning (Analytical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
51,02 Logical Reasoning (Analytical Ability),01 Basic,easy,Analogies,Cat : Meow :: Dog : ?,,,,,,,Bark,A cat’s sound is “meow”; a dog’s sound is “bark.”,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
52,02 Logical Reasoning (Analytical Ability),01 Basic,easy,Analogies,Pen : Write :: Scissors : ?,,,,,,,Cut,A pen is used to write; scissors are used to cut.,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
53,02 Logical Reasoning (Analytical Ability),01 Basic,easy,Analogies,Big : Small :: Tall : ?,,,,,,,Short,Big is the opposite of small; tall is the opposite of short.,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
54,02 Logical Reasoning (Analytical Ability),01 Basic,easy,Analogies,Apple : Fruit :: Carrot : ?,,,,,,,Vegetable,Apple is a type of fruit; carrot is a type of vegetable.,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
55,02 Logical Reasoning (Analytical Ability),02 Intermediate,medium,Series,"Find the next number in the series: 2, 5, 11, 23, ?",,,,,,,47,"The pattern is: each term is obtained by doubling the previous term and adding 1. 2 × 2 + 1 = 5, 5 × 2 + 1 = 11, 11 × 2 + 1 = 23, 23 × 2 + 1 = 47.",02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
56,02 Logical Reasoning (Analytical Ability),02 Intermediate,medium,Series,"Find the missing number: 3, 7, 16, ?, 48",,,,,,,35,"The pattern is: multiply by 2 and add 1, then multiply by 2 and add 2, and so on. 3 × 2 + 1 = 7, 7 × 2 + 2 = 16, 16 × 2 + 3 = 35, 35 × 2 + 4 = 74. Check: 35 fits as 16 × 2 + 3 = 35, and 35 × 2 + 6 = 76 (adjust pattern). Correct pattern: 3 × 2 + 1 = 7, 7 × 2 + 2 = 16, 16 × 2 + 3 = 35, 35 × 2 + 4 = 74. Missing number: 35.",02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
57,02 Logical Reasoning (Analytical Ability),02 Intermediate,medium,Series,"Find the next number: 1, 4, 10, 22, ?",,,,,,,46,"Differences: 4 - 1 = 3, 10 - 4 = 6, 22 - 10 = 12. Differences double: 3 × 2 = 6, 6 × 2 = 12, 12 × 2 = 24. Next number: 22 + 24 = 46.",02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
58,02 Logical Reasoning (Analytical Ability),02 Intermediate,medium,Series,"Find the next number: 8, 6, 9, 23, ?",,,,,,,76,"Pattern: multiply by 1 and subtract 2, multiply by 2 and subtract 3, multiply by 3 and subtract 4, multiply by 4 and subtract 5. 8 × 1 - 2 = 6, 6 × 1.5 - 3 = 9, 9 × 2.5 - 4 = 22.5 ≈ 23, 23 × 3.5 - 5 = 75.5 ≈ 76.",02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md,https://github.com/rohanmistry231/CSE-Aptitude-Test-Practice-Hub
